LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
B101EAN01.5,AUO,10.1,LCD,1280x800,350,MIPI
LD070WU2-SM01,LG Display,7.0,LCD,1200x1920,450,MIPI
HSD101PUW1-A00,HannStar,10.1,LCD,1920x1200,380,MIPI
B101UAN01.7 HW0A,AUO,10.1,LCD,1920x1200,400,MIPI
N080ICE-GB1 N080ICE-GB1,Innolux,8.0,LCD,800x1280,350,MIPI
LQ101R1SX01A,SHARP,10.1,LCD,2560x1600,400,MIPI
LQ055T3SX02,SHARP,5.5,LCD,1080x1920,450,MIPI
LS055T1SX01,SHARP,5.5,LCD,1080x1920,500,MIPI
LS055R1SX04,SHARP,5.5,LCD,1440x2560,450,MIPI
LQ079L1SX01,SHARP,7.9,LCD,1536x2048,460,MIPI
LS055T3SX05,SHARP,5.5,LCD,1080x1920,450,MIPI
LTL089CL02-001,Samsung,8.9,LCD,1920x1200,450,MIPI
LS059T1SX01,SHARP,5.9,LCD,1080x1920,400,MIPI
CLAA101FP05 XG,CPT,10.1,LCD,1920x1200,370,MIPI
LH154Q01-TD01,LG Display,1.54,LCD,240x240,450,MIPI
CLAA101WJ03 XG,CPT,10.1,LCD,1366x768,400,MIPI
CLAA101FP05,CPT,10.1,LCD,1920x1200,370,MIPI
LT070ME05000,JDI,7.0,LCD,1200x1920,450,MIPI
B101UAN01.E,AUO,10.1,LCD,1920x1200,400,MIPI
HSD101PUW1-D00,HannStar,10.1,LCD,1920x1200,400,MIPI
LD070WX3-SL01,LG Display,7.0,LCD,800x1280,500,MIPI
LS050T1SX01,SHARP,5.0,LCD,1080x1920,450,MIPI
LD070WX4-SM01,LG Display,7.0,LCD,800x1280,490,MIPI
LT101MB02000,JDI,10.1,LCD,1920x1200,340,MIPI
B080XAN02.0,AUO,7.9,LCD,768x1024,300,MIPI
LQ070M1SX01,SHARP,7.0,LCD,1200x1920,400,MIPI
BP070WX1-300,BOE,7.0,LCD,800x1280,,MIPI
BP101WX1-210,BOE,10.1,LCD,1280x800,330,MIPI
LS047T1SC02,SHARP,4.7,LCD,1080x1920,470,MIPI
LQ047K3SX06,SHARP,4.7,LCD,720x1280,450,MIPI
HSD088IPW1-A00,HannStar,8.8,LCD,1920x480,600,MIPI
HSD101PUW1-C00,HannStar,10.1,LCD,1920x1200,370,MIPI
LD070WX5-SM01,LG Display,7.0,LCD,900x1440,400,MIPI
H245QBN02.0,AUO,2.5,LCD,240x432,500,MIPI
N070ICE-GB1,Innolux,7I.0,LCD,800x1280,300,MIPI
HJ101IA-01F,Innolux,10.1,LCD,1280x800,350,MIPI
AMS495QA01,Samsung,5.0,OLED,960x9544,140,MIPI
HE080IA-01E,Innolux,8.0,CELL,1024x768,0,MIPI
P101DBZ-3Z1,Innolux,10.1,CELL,800x1280,0,MIPI
B101XAN02.0,AUO,10.1,LCD,1366x768,250,MIPI
CLAA080WQ05,CPT,8.0,LCD,800x1280,350,MIPI
VVX07F015M00,Panasonic,7.0,LCD,1200x1920,450,MIPI
B080UAN01.4,AUO,8.0,LCD,1200x1920,400,MIPI
CLAA070WP06 XG,CPT,7.0,LCD,800x1280,400,MIPI
HSD060CHW1-A00,HannStar,6.0,LCD,720x1280,450,MIPI
LS055R1SX03,SHARP,5.5,LCD,1440x2560,450,MIPI
TM040YDHG32,Tianma,4.0,LCD,480x800,550,MIPI
TFTMD089030,JDI,8.9,LCD,2560x1600,500,MIPI
M101NWWB R4,IVO,10.1,LCD,1280x800,300,MIPI
LQ050T1SX02,SHARP,5.0,LCD,1080x1920,460,MIPI
LS060R1SX02,SHARP,6.0,LCD,1440x2560,450,MIPI
TV097X0M-NS0,BOE,9.7,LCD,768x1024,450,MIPI
LQ050T1SX05,SHARP,5.0,LCD,1080x1920,450,MIPI
COM40H4M66ULC,ORTUSTECH,4.0,LCD,480x800,350,MIPI
LH500WF1-SD02,LG Display,5.0,LCD,1080x1920,450,MIPI
LQ101R1SX01,SHARP,10.1,LCD,2560x1600,400,MIPI
BP080WX7-100,BOE,8.0,CELL,1280x800,0,MIPI
CLAA080WQ03 XG,CPT,8.0,LCD,800x1280,400,MIPI
N070ICN-GB1,Innolux,7I.0,LCD,800x1280,300,MIPI
B070ATN02.0,AUO,7.0,LCD,600x1024,400,MIPI
LP079X01-SMAV,LG Display,7.9,LCD,768x1024,425,MIPI
N070ICE-GB2,Innolux,7I.0,LCD,800x1280,450,MIPI
HSD101PUW1-A00-0299,HannStar,10.1,CELL,1920x1200,0,MIPI
LQ055T3SX03,SHARP,5.5,LCD,1080x1920,450,MIPI
LQ055K3SX02,SHARP,5.5,LCD,720x1280,500,MIPI
P101KDA-AP1,Innolux,10.1,LCD,1200x1920,400,MIPI
TV101WXM-NL0,BOE,10.1,LCD,800x1280,300,MIPI
